x,y,z
-1.800000000000000000e+01,-1.201064586639404297e+01,-9.010091423988342285e-01
-1.792799949645996094e+01,-1.194692802429199219e+01,-8.857145905494689941e-01
-1.792799949645996094e+01,-1.192933654785156250e+01,-9.181032776832580566e-01
-1.792799949645996094e+01,-1.183537483215332031e+01,-9.176772236824035645e-01
-1.800000000000000000e+01,-1.189538669586181641e+01,-8.815358281135559082e-01
-1.792799949645996094e+01,-1.176436138153076172e+01,-9.397523999214172363e-01
-1.792799949645996094e+01,-1.162226867675781250e+01,-9.228919148445129395e-01
-1.800000000000000000e+01,-1.160396385192871094e+01,-8.993902802467346191e-01
-1.792799949645996094e+01,-1.152448654174804688e+01,-9.005220532417297363e-01
-1.792799949645996094e+01,-1.142022895812988281e+01,-9.165173172950744629e-01
-1.792799949645996094e+01,-1.148444271087646484e+01,-8.991857171058654785e-01
-1.792799949645996094e+01,-1.133362865447998047e+01,-8.973198533058166504e-01
-1.792799949645996094e+01,-1.137230014801025391e+01,-9.006829857826232910e-01
-1.792799949645996094e+01,-1.121982192993164062e+01,-8.840988278388977051e-01
-1.792799949645996094e+01,-1.111673355102539062e+01,-8.796902298927307129e-01
-1.792799949645996094e+01,-1.101307392120361328e+01,-8.652864098548889160e-01
-1.792799949645996094e+01,-1.092373371124267578e+01,-8.717566132545471191e-01
-1.792799949645996094e+01,-1.082286453247070312e+01,-8.440769314765930176e-01
-1.792799949645996094e+01,-1.071088600158691406e+01,-8.487973809242248535e-01
-1.792799949645996094e+01,-1.061511707305908203e+01,-8.963490128517150879e-01
-1.800000000000000000e+01,-1.063950729370117188e+01,-7.999499440193176270e-01
-1.792799949645996094e+01,-1.054909420013427734e+01,-8.559656739234924316e-01
-1.792799949645996094e+01,-1.045154666900634766e+01,-8.934851288795471191e-01
-1.792799949645996094e+01,-1.040571975708007812e+01,-9.303172230720520020e-01
-1.800000000000000000e+01,-1.031050014495849609e+01,-8.323077559471130371e-01
-1.792799949645996094e+01,-1.032291030883789062e+01,-9.119351506233215332e-01
-1.792799949645996094e+01,-1.023920536041259766e+01,-8.664050698280334473e-01
-1.792799949645996094e+01,-1.022091960906982422e+01,-9.336083531379699707e-01
-1.792799949645996094e+01,-1.011749172210693359e+01,-9.487741589546203613e-01
-1.792799949645996094e+01,-1.003925228118896484e+01,-9.554553627967834473e-01
-1.792799949645996094e+01,-9.904017448425292969e+00,-1.055830597877502441e+00
-1.800000000000000000e+01,-9.986694335937500000e+00,-9.914508461952209473e-01
-1.792799949645996094e+01,-9.875710487365722656e+00,-1.070780158042907715e+00
-1.792799949645996094e+01,-9.816926956176757812e+00,-1.112263560295104980e+00
-1.792799949645996094e+01,-9.700592994689941406e+00,-1.132481694221496582e+00
-1.792799949645996094e+01,-9.663380622863769531e+00,-1.190617918968200684e+00
-1.792799949645996094e+01,-9.628923416137695312e+00,-1.220989346504211426e+00
-1.792799949645996094e+01,-9.534994125366210938e+00,-1.235763669013977051e+00
-1.792799949645996094e+01,-9.404041290283203125e+00,-1.262857794761657715e+00
-1.792799949645996094e+01,-9.320961952209472656e+00,-1.333047270774841309e+00
-1.792799949645996094e+01,-9.277256011962890625e+00,-1.369688868522644043e+00
-1.792799949645996094e+01,-9.233145713806152344e+00,-1.403609156608581543e+00
